name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,brand,average_brand_price,predicted_price
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,7.0,Toyota,959946.6741803279,748160.0
Mercedes-Benz B Class B180,2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,5.0,Mercedes-Benz,2470444.4444444445,1278584.96
Honda Amaze S Diesel,2015,425000,49800,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5.0,Honda,596178.0149892934,648839.98
Mitsubishi Pajero Sport 4X4,2013,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,7.0,Mitsubishi,817500.0,1090450.0
Honda City i DTEC S,2015,600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5.0,Honda,596178.0149892934,631959.93
Maruti Ciaz Zeta,2018,850000,64000,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,5.0,Maruti,403075.7214052288,848713.3233333335
Honda Jazz VX Diesel,2015,525000,63000,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,5.0,Honda,596178.0149892934,553029.99
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,Toyota,959946.6741803279,1595410.0
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,7.0,Toyota,959946.6741803279,998010.0
Audi A6 2.0 TDI Technology,2013,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,5.0,Audi,2612199.925,1814899.99
Toyota Corolla Altis 1.8 VL CVT,2018,1590000,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,Toyota,959946.6741803279,1409340.0
Audi A6 2.0 TDI  Design Edition,2013,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,5.0,Audi,2612199.925,1720749.4
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,170.0,5.0,Mercedes-Benz,2470444.4444444445,1562849.99
Tata Manza ELAN Quadrajet BS IV,2011,265000,120000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0,Tata,357433.1076294278,257500.0
Hyundai i10 Magna,2011,190000,110000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5.0,Hyundai,458554.3667844523,199337.49
Hyundai i20 Asta 1.4 CRDi,2013,425000,60000,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5.0,Hyundai,458554.3667844523,430669.32
Maruti Swift Dzire ZDI,2015,630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5.0,Maruti,403075.7214052288,583200.0
Ford Figo 1.2P Titanium MT,2017,600000,25000,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5.0,Ford,516682.58186397987,564479.99
Maruti Baleno Delta 1.2,2019,650000,30000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,Maruti,403075.7214052288,631135.0
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0,Volkswagen,498817.188172043,760978.3233333332
Honda City i DTEC VX,2015,630000,135000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5.0,Honda,596178.0149892934,638860.0
Maruti Wagon R AMT VXI,2018,448000,30000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0,Maruti,403075.7214052288,456068.85714285716
Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,80000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,Volkswagen,498817.188172043,543248.4423809523
Maruti Vitara Brezza VDi,2016,745000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti,403075.7214052288,732962.6190476189
Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5.0,Maruti,403075.7214052288,985910.0
Hyundai i10 Magna,2011,235000,60000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,Hyundai,458554.3667844523,220943.3333333333
Maruti Swift VDI Deca,2016,630000,70000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,Maruti,403075.7214052288,584225.4563492064
Toyota Fortuner 4x4 MT,2015,1700000,78000,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,7.0,Toyota,959946.6741803279,1716490.0
Maruti Swift Star VDI,2013,450000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,Maruti,403075.7214052288,419483.32333333336
Maruti Ertiga ZXI,2012,450000,120000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7.0,Maruti,403075.7214052288,437150.0
Volkswagen Vento Diesel Highline,2013,450000,170000,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5.0,Volkswagen,498817.188172043,411050.0
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,140000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8.0,Toyota,959946.6741803279,1139433.3333333335
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,Ford,516682.58186397987,606169.6428571427
BMW X1 sDrive20i xLine,2016,2500000,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,189.0,5.0,BMW,4109916.6666666665,2070788.4110526317
Maruti Celerio ZXI MT BSIV,2017,484999,10000,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,5.0,Maruti,403075.7214052288,466049.28
Datsun GO A Petrol,2016,275000,49000,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,5.0,Datsun,314599.95384615386,287340.0
Maruti Alto 800 VXI BSIV,2016,315000,32000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,Maruti,403075.7214052288,308682.38095238095
Maruti Alto 800 LXI BSIV,2016,275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,Maruti,403075.7214052288,276683.3333333333
Hyundai i10 Era 1.1,2012,290000,28000,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,5.0,Hyundai,458554.3667844523,270290.0
Maruti Omni 8 Seater BSIV,2017,280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,5.0,Maruti,403075.7214052288,259318.325
Maruti Wagon R LXI LPG BSIV,2010,225000,44000,LPG,Dealer,Manual,First Owner,26.2,998.0,58.2,5.0,Maruti,403075.7214052288,232530.0
Volkswagen Polo 1.2 MPI Comfortline,2015,455000,42000,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,5.0,Volkswagen,498817.188172043,409195.0
Hyundai i10 Magna 1.1L,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,5.0,Hyundai,458554.3667844523,310246.55666666664
Volkswagen Vento Petrol Highline,2012,535000,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,5.0,Volkswagen,498817.188172043,488933.2533333333
Maruti Zen Estilo LXI BSIII,2009,175000,55500,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5.0,Maruti,403075.7214052288,171705.27
Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,61500,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,5.0,Hyundai,458554.3667844523,376279.98
Maruti Swift Dzire LDI,2016,600000,150000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,Maruti,403075.7214052288,611850.0
Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,5.0,Hyundai,458554.3667844523,488179.95
Maruti Alto LX BSIII,2008,120000,68000,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,5.0,Maruti,403075.7214052288,118259.97
Hyundai i20 1.4 Asta Option,2017,725000,110000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,Hyundai,458554.3667844523,733444.99
Maruti Wagon R VXI,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,5.0,Maruti,403075.7214052288,190903.3333333333
Tata Manza Aura (ABS) Quadrajet,2010,200000,100000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5.0,Tata,357433.1076294278,193343.30333333334
Maruti Swift VXI,2019,615000,10000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,Maruti,403075.7214052288,600895.0535476188
Maruti Eeco 7 Seater Standard BSIV,2016,270000,100000,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,7.0,Maruti,403075.7214052288,276570.0
Maruti Baleno Zeta 1.2,2018,610000,35000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,Maruti,403075.7214052288,598750.0
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,625000,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,8.0,Mahindra,623224.0556994819,780259.1141666668
Ford Freestyle Titanium Petrol BSIV,2020,400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5.0,Ford,516682.58186397987,489970.0
Hyundai Verna VTVT 1.6 SX,2017,866000,37800,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,Hyundai,458554.3667844523,850907.5
Volkswagen Passat 1.8 TSI MT,2010,700000,114000,Petrol,Individual,Manual,First Owner,14.3,1798.0,160.0,5.0,Volkswagen,498817.188172043,591880.0
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000,48000,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,5.0,Tata,357433.1076294278,258325.27
Mahindra XUV500 W11 Option AWD,2019,1700000,32000,Diesel,Individual,Manual,First Owner,15.1,2179.0,155.0,7.0,Mahindra,623224.0556994819,1495900.0
Tata Indigo CS LS (TDI) BS-III,2016,375000,100000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5.0,Tata,357433.1076294278,361350.0
Hyundai Verna 1.6 SX,2013,522000,150000,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5.0,Hyundai,458554.3667844523,518785.78083333327
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,69000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,Hyundai,458554.3667844523,415019.364
Toyota Corolla Altis G,2009,300000,100000,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,5.0,Toyota,959946.6741803279,302520.0
Maruti Celerio VXI,2020,475000,13000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0,Maruti,403075.7214052288,464920.0
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti,403075.7214052288,770500.2280952381
Maruti Swift Dzire VXI,2017,595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,Maruti,403075.7214052288,570040.0
Maruti Wagon R VXI BS IV,2017,440000,35000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,Maruti,403075.7214052288,437219.97
Nissan Terrano XL 85 PS,2014,400000,70000,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,5.0,Nissan,465407.35802469135,428905.0
Hyundai Creta 1.6 CRDi SX,2016,1140000,50000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,Hyundai,458554.3667844523,1043339.92
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,76139,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,Ford,516682.58186397987,802180.0
Maruti Swift Dzire VDi,2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5.0,Maruti,403075.7214052288,361033.33333333326
Renault KWID 1.0,2018,350000,25000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,Renault,462618.38157894736,351333.3233333333
Maruti Celerio VXI,2015,360000,40000,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,5.0,Maruti,403075.7214052288,351829.99
Maruti Alto LXi,2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5.0,Maruti,403075.7214052288,123034.16666666669
Maruti Ertiga VDI,2013,625000,90000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,Maruti,403075.7214052288,609170.0
Hyundai Santro Xing GLS,2009,135000,80000,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5.0,Hyundai,458554.3667844523,157341.03142857144
Maruti Ertiga VDI,2015,700000,110000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,Maruti,403075.7214052288,655709.98
Honda Amaze S i-VTEC,2019,690000,1303,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,5.0,Honda,596178.0149892934,683750.0
Audi Q5 35TDI Premium Plus,2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968.0,188.0,5.0,Audi,2612199.925,3958000.0
Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,214.56,5.0,Lexus,5150000.0,5150000.0
Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,5.0,Jaguar,2915464.7887323946,3200000.0
Jeep Wrangler 2016-2019 3.6 4X4,2017,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604.0,280.0,5.0,Jeep,2149612.870967742,4067000.0
Land Rover Discovery Sport TD4 SE,2019,4500000,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999.0,148.31,7.0,Land,3608333.3333333335,4262260.0
Mercedes-Benz S-Class S 350 CDI,2017,6000000,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,254.79,5.0,Mercedes-Benz,2470444.4444444445,5269284.594594595
BMW 5 Series 520d Sport Line,2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,5.0,BMW,4109916.6666666665,3666200.0
BMW X4 M Sport X xDrive20d,2019,5800000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5.0,BMW,4109916.6666666665,5417561.221736099
Skoda Superb LK 1.8 TSI AT,2018,1864999,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,177.46,5.0,Skoda,607723.7714285714,1895349.06
Mercedes-Benz E-Class E250 Edition E,2016,2700000,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204.0,5.0,Mercedes-Benz,2470444.4444444445,2701598.260869565
MG Hector Sharp AT BSIV,2019,1750000,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141.0,5.0,MG,1783333.3333333333,1708850.0
Honda City i-VTEC CVT VX,2017,795000,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497.0,117.6,5.0,Honda,596178.0149892934,870270.0
Toyota Corolla Altis 1.8 G CVT,2013,625000,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,Toyota,959946.6741803279,639750.0
Volvo XC40 D4 R-Design,2018,3400000,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190.0,5.0,Volvo,3272014.925373134,3401750.0
Audi Q7 35 TDI Quattro Premium,2015,2650000,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967.0,241.4,7.0,Audi,2612199.925,2648600.0
Maruti Ciaz ZDi,2015,535000,40000,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,5.0,Maruti,403075.7214052288,537850.0
Mercedes-Benz S-Class S 350 CDI,2017,5850000,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,282.0,5.0,Mercedes-Benz,2470444.4444444445,5433500.0
BMW 5 Series 523i,2010,975000,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497.0,150.0,5.0,BMW,4109916.6666666665,849059.99
Hyundai Elantra S,2016,805000,49900,Petrol,Dealer,Manual,First Owner,16.3,1797.0,147.5,5.0,Hyundai,458554.3667844523,850789.99
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,5.0,Jaguar,2915464.7887323946,2678422.444902668
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,11000,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,5.0,Tata,357433.1076294278,796203.3333333333
Volkswagen Vento Petrol Highline,2011,375000,49000,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,5.0,Volkswagen,498817.188172043,350529.98
Hyundai Elantra SX,2012,550000,95000,Petrol,Individual,Manual,First Owner,16.3,1797.0,147.5,5.0,Hyundai,458554.3667844523,581715.0
Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,5.0,Skoda,607723.7714285714,645000.0
Mercedes-Benz CLA 200 CGI Sport,2018,2550000,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991.0,183.0,5.0,Mercedes-Benz,2470444.4444444445,2615149.94
Maruti Ertiga ZXI,2014,599000,46100,Petrol,Dealer,Manual,First Owner,16.02,1373.0,93.7,7.0,Maruti,403075.7214052288,597989.99
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,2700000,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991.0,181.04,5.0,Mercedes-Benz,2470444.4444444445,2623499.95
Honda City V AT,2017,875000,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497.0,116.3,5.0,Honda,596178.0149892934,893552.3809523812
Toyota Glanza V CVT,2019,894999,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,5.0,Toyota,959946.6741803279,869849.13
Maruti Alto K10 VXI,2011,175000,11000,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,Maruti,403075.7214052288,180900.0
Maruti Swift VXI,2012,340000,24300,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,5.0,Maruti,403075.7214052288,356834.98
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,Toyota,959946.6741803279,1643900.0
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,5.0,Tata,357433.1076294278,1036350.0
BMW 3 Series 320d Luxury Line,2016,2150000,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,5.0,BMW,4109916.6666666665,2239400.0
Toyota Camry 2.5 Hybrid,2016,1900000,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494.0,157.7,5.0,Toyota,959946.6741803279,1882900.0
BMW 5 Series 520d Luxury Line,2016,2900000,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995.0,190.0,5.0,BMW,4109916.6666666665,2793250.0
Toyota Camry W4 (AT),2009,450000,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362.0,164.7,5.0,Toyota,959946.6741803279,483530.0
Maruti Ertiga BSIV ZXI Plus,2016,850000,20000,Petrol,Individual,Manual,First Owner,17.5,1373.0,91.1,7.0,Maruti,403075.7214052288,774450.0
Volvo XC90 T8 Excellence BSIV,2017,10000000,30000,Petrol,Individual,Automatic,First Owner,42.0,1969.0,400.0,4.0,Volvo,3272014.925373134,8131300.0
Volkswagen Vento Diesel Highline,2011,300000,100000,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,5.0,Volkswagen,498817.188172043,334325.00000000006
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,575000,9500,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0,Ford,516682.58186397987,571339.99
Ford Figo Diesel LXI,2011,160000,120000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0,Ford,516682.58186397987,183639.99
